iter	Passed	Remaining
412	3839	24052
413	3848	24038
414	3856	24024
415	3865	24012
416	3875	24004
417	3884	23992
418	3892	23978
419	3901	23967
420	3909	23950
421	3918	23939
422	3927	23928
423	3936	23915
424	3945	23903
425	3954	23895
426	3964	23886
427	3972	23873
428	3981	23858
429	3989	23845
430	3998	23835
431	4008	23828
432	4018	23824
433	4028	23816
434	4036	23803
435	4045	23791
436	4053	23776
437	4062	23763
438	4071	23749
439	4080	23740
440	4088	23726
441	4098	23720
442	4107	23705
443	4116	23697
444	4126	23689
445	4134	23676
446	4143	23664
447	4152	23652
448	4160	23640
449	4169	23626
450	4177	23612
451	4186	23600
452	4196	23593
453	4205	23582
454	4213	23567
455	4222	23556
456	4231	23548
457	4240	23537
458	4249	23525
459	4258	23512
460	4266	23498
461	4274	23484
462	4284	23478
463	4294	23469
464	4302	23456
465	4311	23443
466	4319	23429
467	4327	23415
468	4337	23405
469	4345	23389
470	4354	23380
471	4362	23367
472	4373	23367
473	4383	23359
474	4393	23353
475	4402	23344
476	4411	23334
477	4420	23323
478	4429	23311
479	4439	23306
480	4449	23299
481	4457	23288
482	4466	23277
483	4476	23270
484	4485	23260
485	4495	23253
486	4503	23240
487	4513	23233
488	4521	23218
489	4530	23207
490	4539	23194
491	4548	23184
492	4557	23173
493	4565	23159
494	4574	23147
495	4582	23135
496	4590	23121
497	4599	23110
498	4609	23101
499	4619	23095
500	4627	23082
501	4635	23068
502	4645	23059
503	4653	23045
504	4661	23031
505	4670	23018
506	4679	23008
507	4688	22997
508	4696	22983
509	4704	22971
510	4713	22958
511	4722	22948
512	4731	22936
513	4740	22927
514	4749	22916
515	4757	22904
516	4766	22890
517	4775	22882
518	4784	22872
519	4793	22861
520	4802	22850
521	4811	22839
522	4819	22827
523	4829	22819
524	4839	22813
525	4848	22802
526	4856	22788
527	4866	22781
528	4874	22769
529	4883	22757
530	4892	22747
531	4900	22734
532	4909	22721
533	4917	22708
534	4927	22702
535	4937	22696
536	4946	22685
537	4954	22672
538	4963	22661
539	4972	22651
540	4980	22637
541	4988	22625
542	4997	22614
543	5006	22601
544	5014	22589
545	5022	22575
546	5031	22562
547	5039	22548
548	5048	22540
549	5057	22528
550	5066	22517
551	5075	22508
552	5084	22498
553	5093	22488
554	5103	22481
555	5111	22469
556	5120	22459
557	5129	22447
558	5138	22437
559	5146	22425
560	5155	22413
561	5164	22402
562	5173	22393
563	5182	22383
564	5190	22368
565	5199	22361
566	5208	22348
567	5217	22339
568	5226	22330
569	5235	22318
570	5243	22305
571	5251	22292
572	5262	22288
573	5271	22281
574	5280	22269
575	5289	22257
576	5297	22246
577	5305	22233
578	5314	22220
579	5322	22208
580	5331	22196
581	5340	22186
582	5348	22175
583	5358	22168
584	5369	22167
585	5379	22161
586	5388	22152
587	5398	22143
588	5406	22132
589	5415	22122
590	5424	22112
591	5434	22105
592	5443	22096
593	5453	22088
594	5462	22078
595	5474	22080
596	5482	22068
597	5491	22056
598	5499	22043
599	5507	22031
600	5516	22019
601	5524	22005
602	5532	21994
603	5543	21992
604	5552	21979
605	5561	21968
606	5569	21956
607	5578	21947
608	5587	21937
609	5597	21929
610	5605	21919
611	5615	21910
612	5624	21900
613	5632	21888
614	5641	21876
615	5649	21864
616	5658	21853
617	5667	21843
618	5675	21832
619	5685	21824
620	5693	21811
621	5702	21799
622	5710	21789
623	5719	21779
624	5728	21768
625	5737	21758
626	5746	21750
627	5755	21739
628	5764	21729
629	5774	21723
630	5783	21713
631	5793	21705
632	5801	21695
633	5811	21686
634	5820	21677
635	5843	21720
636	5851	21707
637	5859	21692
638	5867	21680
639	5876	21671
640	5885	21660
641	5894	21651
642	5904	21643
643	5912	21631
644	5921	21620
645	5930	21612
646	5939	21602
647	5948	21590
648	5957	21580
649	5966	21570
650	5974	21559
651	5983	21547
652	5992	21538
653	6000	21525
654	6009	21515
655	6017	21502
656	6026	21492
657	6034	21479
658	6043	21469
659	6052	21459
660	6061	21449
661	6070	21440
662	6079	21429
663	6088	21419
664	6097	21408
665	6105	21397
666	6114	21385
667	6122	21374
668	6131	21364
669	6139	21351
670	6148	21341
671	6157	21332
672	6167	21324
673	6176	21315
674	6184	21303
675	6193	21293
676	6203	21285
677	6212	21275
678	6220	21264
679	6229	21254
680	6238	21243
681	6246	21231
682	6255	21222
683	6264	21212
684	6273	21202
685	6282	21190
686	6290	21177
687	6299	21167
688	6308	21158
689	6318	21152
690	6327	21144
691	6339	21143
692	6349	21137
693	6360	21133
694	6369	21126
695	6378	21116
696	6389	21110
697	6398	21101
698	6407	21091
699	6417	21084
700	6427	21079
701	6437	21074
702	6448	21069
703	6468	21097
704	6478	21088
705	6486	21076
706	6495	21067
707	6505	21059
708	6513	21048
709	6522	21036
710	6531	21027
711	6540	21016
712	6549	21006
713	6557	20995
714	6565	20983
715	6574	20973
716	6585	20967
717	6601	20980
718	6609	20969
719	6618	20957
720	6626	20945
721	6635	20934
722	6643	20922
723	6652	20912
724	6661	20903
725	6670	20893
726	6679	20882
727	6687	20871
728	6696	20861
729	6705	20850
730	6714	20840
731	6723	20831
732	6731	20820
733	6740	20808
734	6749	20799
735	6759	20791
736	6767	20780
737	6776	20769
738	6784	20757
739	6793	20746
740	6801	20735
741	6810	20725
742	6820	20718
743	6831	20713
744	6841	20706
745	6849	20696
746	6858	20684
747	6868	20677
748	6876	20666
749	6884	20654
750	6893	20644
751	6902	20633
752	6911	20624
753	6920	20615
754	6929	20604
755	6937	20593
756	6946	20581
757	6956	20574
758	6964	20563
759	6973	20554
760	6982	20542
761	6990	20531
762	6999	20521
763	7008	20510
764	7016	20499
765	7025	20489
766	7034	20479
767	7043	20469
768	7052	20460
769	7062	20452
770	7071	20443
771	7080	20434
772	7089	20424
773	7097	20413
774	7107	20404
775	7115	20392
776	7123	20381
777	7132	20369
778	7141	20361
779	7151	20353
780	7159	20342
781	7168	20332
782	7177	20322
783	7186	20312
784	7194	20300
785	7202	20289
786	7211	20278
787	7220	20268
788	7230	20260
789	7239	20252
790	7248	20242
791	7257	20232
792	7265	20221
793	7274	20209
794	7283	20200
795	7292	20190
796	7300	20180
797	7308	20167
798	7318	20160
799	7328	20153
800	7339	20150
801	7349	20142
802	7358	20133
803	7367	20123
804	7376	20114
805	7385	20105
