iter	Logloss
0	0.686030599
1	0.679042806
2	0.6723914388
3	0.6664285482
4	0.6617676188
5	0.6566373291
6	0.6515897624
7	0.6468861084
8	0.6413736979
9	0.6355838623
10	0.631081014
11	0.6266993815
12	0.6224980469
13	0.6168803304
14	0.6129009603
15	0.6077108154
16	0.6037427165
17	0.5984060872
18	0.5945146077
19	0.5892840169
20	0.5847546387
21	0.5800340169
22	0.5759293213
23	0.5717104492
24	0.5668943685
25	0.5622765299
26	0.5578124593
27	0.5533736165
28	0.5498697917
29	0.5466309814
30	0.5427803548
31	0.5396981608
32	0.536277181
33	0.5333123372
34	0.5299563802
35	0.5266086426
36	0.5234678548
37	0.5202618001
38	0.5168980306
39	0.51396757
40	0.5107948405
41	0.5073103841
42	0.5042436523
43	0.5008127035
44	0.4973284912
45	0.4948940837
46	0.4927389323
47	0.4900799561
48	0.4866811523
49	0.4835469564
50	0.4807756755
51	0.4779674886
52	0.4757061768
53	0.4730600993
54	0.4709307454
55	0.4678693848
56	0.4653544922
57	0.4625817871
58	0.4604799398
59	0.4580266113
60	0.4564944661
61	0.4542379557
62	0.4517743327
63	0.4494505208
64	0.4470384521
65	0.4448085124
66	0.4430449626
67	0.4412607015
68	0.4386317546
69	0.4366254883
70	0.4341761882
71	0.4322655029
72	0.4301766357
73	0.4284515381
74	0.4266853027
75	0.4243407796
76	0.4222255859
77	0.4204377441
78	0.4180246582
79	0.4156820475
80	0.4139279785
81	0.4125520833
82	0.4107195231
83	0.4087708333
84	0.4071685791
85	0.4048542887
86	0.4031274007
87	0.4015598958
88	0.3999416911
89	0.3979117839
90	0.3963025716
91	0.394679362
92	0.3929327799
93	0.3912801107
94	0.3895531413
95	0.387741862
96	0.3861751302
97	0.3848445231
98	0.383364502
99	0.3817253418
100	0.3798297526
101	0.3782483724
102	0.3764731445
103	0.3749821777
104	0.3733361816
105	0.3719419759
106	0.3700551758
107	0.3683543701
108	0.3670285645
109	0.3657445882
110	0.3643883057
111	0.3631055501
112	0.3617256266
113	0.3602236328
114	0.3587043457
115	0.3579307454
116	0.3565349528
117	0.3552011719
118	0.3537927246
119	0.3525397949
120	0.3513779297
121	0.3502059326
122	0.3487297363
123	0.3475250244
124	0.3464903971
125	0.3453378092
126	0.3442359212
127	0.3430919189
128	0.3417029622
129	0.3405349528
130	0.3393996582
131	0.3384424642
132	0.337370402
133	0.3362740072
134	0.3352820638
135	0.3343344727
136	0.3330329386
137	0.3319003092
138	0.3309402059
139	0.3300484823
140	0.3292826945
141	0.3283703206
142	0.3273669434
143	0.3265057983
144	0.3255186564
145	0.3246738485
146	0.3236623739
147	0.322767395
148	0.3213407186
149	0.320276652
150	0.319380778
151	0.3183734334
152	0.3176593628
153	0.3166833089
154	0.3155021159
155	0.3144987996
156	0.3136077474
157	0.3127343953
158	0.3118912354
159	0.3108260498
160	0.3100389811
161	0.3091787109
162	0.3083144938
163	0.3075065918
164	0.3067097575
165	0.3058409627
166	0.3050069987
167	0.3042181396
168	0.3036223145
169	0.3029913737
170	0.3019726563
171	0.3012732747
172	0.3003427327
173	0.2994532878
174	0.2988095093
175	0.2978201904
176	0.2971433105
177	0.2963171387
178	0.2955585124
179	0.2948946737
180	0.294073995
181	0.2933185425
182	0.2926467489
183	0.2920002238
184	0.2913281657
185	0.2907502238
186	0.290237915
187	0.289413859
188	0.2887137858
189	0.287913208
190	0.2871479085
191	0.2864980062
192	0.2852182617
193	0.2846790975
194	0.2839853516
195	0.2832925415
196	0.2825904134
197	0.2819701538
198	0.281300883
199	0.2808049113
200	0.2801560262
201	0.2794783122
202	0.2789616699
203	0.2780850423
204	0.2774302165
205	0.2769467773
206	0.276334432
207	0.2756812744
208	0.2751045329
209	0.2744111735
210	0.2736066284
211	0.2731646322
212	0.2725075684
213	0.2720424398
214	0.2711240641
215	0.2705828451
216	0.2701012573
217	0.2693549194
218	0.2687906901
219	0.268396464
220	0.267737325
221	0.2672888794
222	0.2667675374
223	0.2660085449
224	0.2654514974
225	0.2648723145
226	0.2642374878
227	0.2634881185
228	0.2628512777
229	0.2623556722
230	0.2618553263
231	0.2613990275
232	0.2609186605
233	0.2605095215
234	0.2600032552
235	0.2594184977
236	0.2586979574
237	0.2581409098
238	0.2577088216
239	0.2570320435
240	0.2564221191
241	0.2559834798
242	0.255385376
243	0.2549336548
244	0.2545669352
245	0.2540898437
246	0.2536758016
247	0.2533259074
248	0.2528405558
249	0.2522775065
250	0.2515259603
251	0.251061849
252	0.2506202596
253	0.2500128174
254	0.2495500488
255	0.2489515381
256	0.2485079346
257	0.2481943766
258	0.2474836019
259	0.2470813395
260	0.2467134399
261	0.24625118
262	0.2456361694
263	0.2451188558
264	0.2445318604
265	0.2441005452
266	0.2436237996
267	0.243209432
268	0.2427576294
269	0.2424415894
270	0.2420486247
271	0.2415780436
272	0.2409540202
273	0.2404630534
274	0.2399677531
275	0.2393153687
276	0.2389121094
277	0.2384571737
278	0.2380891317
279	0.2375986328
280	0.2372393392
281	0.2369332682
282	0.2363985189
283	0.2360412598
284	0.2355992432
285	0.2348481445
286	0.2343550618
287	0.2339217936
288	0.2336203206
289	0.2332843221
290	0.2328308309
291	0.2323973592
292	0.2320186564
293	0.2312886149
294	0.2309114787
295	0.2306468913
296	0.2301970011
297	0.2297290243
298	0.2293060913
299	0.2288720296
300	0.2282915853
301	0.2277510986
302	0.2273850098
303	0.2269318034
304	0.2263814087
305	0.2259490967
306	0.2255703939
307	0.225162089
308	0.2246588542
309	0.2240724487
310	0.2237646688
311	0.2233094482
312	0.2228112386
313	0.2223944499
314	0.2219332682
315	0.2213144531
316	0.2208977458
317	0.2205237427
318	0.2200498861
319	0.2196581014
320	0.21918986
321	0.2187124837
322	0.2182378947
323	0.2179294434
324	0.2175887044
325	0.2171264242
326	0.2167218424
327	0.2161929525
328	0.2157960612
329	0.2152569377
330	0.2149533285
331	0.2145799561
332	0.2142348836
333	0.2138996989
334	0.2134832764
335	0.2131377563
336	0.2127733968
337	0.2123094076
338	0.2119540609
339	0.2116220907
340	0.2113226929
341	0.2109142863
342	0.2106045736
343	0.210168457
344	0.2096385498
345	0.2092462769
346	0.2088981934
347	0.2086188354
348	0.2083250732
349	0.2079698079
350	0.2076757812
351	0.2073384806
352	0.2069526164
353	0.2066055501
354	0.2062709757
355	0.2057482503
356	0.2054848429
357	0.2052141927
358	0.2045269979
359	0.2041531169
360	0.2037026164
361	0.2032859294
362	0.2029518433
363	0.2023512573
364	0.2020322062
365	0.2016387533
366	0.2013585409
367	0.2009435832
368	0.2005129598
369	0.200093099
370	0.1998717448
371	0.1995427043
372	0.1992944743
373	0.1989500732
374	0.1986699015
375	0.1983348999
376	0.1979789836
377	0.1976934814
378	0.1972775472
379	0.1970198568
